label,Question 
valid,Why should we hire you?
valid,McDonald is starting a new product(sandwhich), how should they estimate the demand.
valid,How would you teach your grandmother about wifi
valid,How would you teach your grandmother about wifi
valid,How would you increase the email open rate.
valid,How would you redifine the whole process if you were given the complete authority?\nWhat are the mistakes you can find out in the current process?(interviewer will explain you the pricess and ask)
valid,What do you think the estimated cost per delivery comes to be?
valid,How many teammates will you require(he will give you a virtual project with a timeline)
valid,What will be the job of each team mate in your defined team?
valid,A rapid fire round to judge the presence of mind with questions like\nWhich floor are you on?\nSimple bodmas questions?\n
valid,Responsibilities of your last role?\nThey will also judge the data abalysing power.
valid,Some questions realted to puzzles which you would easily solved if you have ever solved for CAT questions
valid,What did i leave my last job?
valid,How can i make them sure that i will not be leaving tgem in between if they rely on me
valid,About resume, academics etc.
invalid,2 rounds of different case study
invalid,Questions were from graduation subjects.
valid,All the questions were from resume.
invalid,There were a few technical questions taken from my subjects only.
invalid,It was a general interview
valid,Tell me about your self.
valid,Tell me about yourself.
valid,Explain about your intern
valid,Explain the analytics project
invalid,Instance about my creative/ innovative skills
valid,Team-work instances
valid,Why consulting? Why EY?
valid,How would you parents/ friends/ mentors/ teachers/ colleagues describe you in one word?
valid,Do you have any questions?
valid,Tell me about yourslef
valid,Explain points in resume that are mentioned in Tell me about yourself
valid,Are you okay working at any location?
valid,Which sector would you like to work in if given an offer?
valid,Do you have any questions?
valid,about your work experience
valid,sequence detector
invalid,i2c protocol thoroughly
invalid,spi protocol
valid,difference between spi & i2c,difference between latch & ff
valid,3 box contains ballls,labels are different for them all
invalid,2 identical pills
valid,find the average speed for a particular ditance is the average speed while going is x.find out the speed of whole trip...(something like that)
valid,a circular wheel and a sensor.find out the direction of rotation(related to digital)
valid,cricket match.maximum run achieved by batsman(he dropped the idea of asking as i have 0 knowledge of game)
valid,probability of getting heads maximum two times 
valid,Tell me about about yourself? Walk me through your resume.
invalid,Questions on my resume.
valid,So how's your DDP (Dual Degree Project) going?
valid,Why Rivigo?
valid,Why do you want to work in a start up?
valid,A small case to reduce the time it will take to travel from Chennai to Delhi by road.
valid,How do you earn someone's respect who don't respect others?
valid,If you are interested in working for a start up, why didn't you start one or why didn't you join in one your friends started?
valid,Since Rivigo is a logistics start up, why logistics?
valid,find right veiw of a binary tree
valid,find two missing number from a given array ,without sorting and o(n)
valid,find ave salary without disclosing any one salary
valid,one golden bricks n divide it to min number of part so that u can pay each day salary to a worker
valid,one goat and 100 lion puzzles
valid,make 4 equal shape part of a cake if u cut 1/4 part already
invalid,Normal HR question
invalid,this round based on project
valid,TESTING TYPES :SELENIUM AND WATERFALL
invalid,aaaaaa
invalid,bbbbbbbb
invalid,aaaaaa
valid,Tell Me About Yourself
valid,Give Me 4 Reasons why should i Hire You
valid,Why you Left your previous Job & what You Know About E-Commerce
valid,Tell me something about yourself
valid,Personal interview and ambitions
valid,They wanted to know how focussed I am on a job offered so interviewed me related to various jobs
valid,Full form of  iTr
valid,Full form of tds
valid,Full form of  iTr
valid,Full form of tds
valid,How many times in a year itr can be filed
valid, tds is dedicated on
valid,General questions. Tell me about yourself, Strengths, Weakness etc.
valid,Tell us about yourself.
valid,Why do you want to join IOCL?
valid,Do you have any plans of doing MS/PhD?
valid,Why Oil and Gas Sector?
invalid,Questions related to Internships/Projects
invalid,Questions related to IOCL's Products.
valid,Give us a brief overview of petroleum refining process.
invalid,Some more technical questions related to VDU, CDU, LOBS.
invalid,Some questions related to Heat Exchanger Design and its maintenance.
valid,Select any five companies you would invest in and why given the required metrics.
invalid,Questions based on case study.
invalid,Detailed discussions on the indian economy?
valid,Brexit vote and how it would effect the indian economy?
valid,Tell us something about yourself ?
valid,Why do you want to work for continental ?
valid,Why did you go for MBA after Bsc in Computer science ?
valid,Are you open to travel during internship ?
valid,What is the difference between Push & Pull sales ?
valid,Tell us something about yourself ?
valid,Why do you want to work for Continental ?
valid,Why do you want to do internship in tire industry?
valid,Tell us about your strengths and weaknesses?
valid,Differentiate between push and pull sales?
valid,Are you open to travel to different cities during your internships ?
valid,What is supply chain management? And what qualities a person should have to grow in this field ?
valid,What all factors are need to take care of while doing competitive benchmarking ?
valid,Tell us something about yourself.
valid,What co-curricular have you been a part of that showed your leadership as well as multi-tasker qualities?
valid,Tell me about yourself 
valid,Why mba after doing job
valid,Why finance 
invalid,Question related to Sensex
valid,Data interpretation numerical
invalid,Company valuation question
valid,Journey till then
valid,Introduce yourself
valid,Interview taken by the manager of the dept i was getting hired for
valid,Interview taken by the director of the department
valid,What kind of organisation do you want to work for?
invalid,Mayer Briggs test
invalid,Simulation
invalid,Behavioral test 
invalid,Vowel sounds
valid,Tell me about yourself.
valid,What's your role in your current company?
valid,What all the tools you have worked upon ?
valid,Do you have knowldge of java ,Tell me what is Overloading ?\nCan we achieve overloading by changing return type of a method ?
valid,Do you have knowldge of SQL . Fetch the 3rd largest salary from Employee table.
valid,What are all kind of joins ? How will you apply inner join ?
valid,A man have 3 things [grain,chicken and fox] and he has to cross a river and he can carry only one thing at a time.\nAnd there are some conditions:\n1.He can not leave grain and chicken at a place.\n2.He can not leave chicken and fox together.\nHow he will cross river so that all the three are safely cross the river ?
valid,What is your expectation from us in terms of package?
valid,What is your Notice period ?
valid,Which clauses are important in 3CD while sanctioning loan 
valid,Tell me profit and loss ratios
invalid,Balance sheet ratios
valid,Diffrence between concurrent audit and statutory audit 
valid,If someone is earning less than EMI should he take a loan or not
valid,tell me something about yourself\n
invalid,Simple java and database related questions.
invalid,General HR questions.
valid,sell a pen to a sketch artist.
valid,tell me something about yourself?
valid,Tell me about your hobbies
invalid,Effect of Demonetisation on SMEs ?
valid,Market share and market capitalisation of DCB bank?
valid,Asked about a business model for the bank.\n
valid,How is digitalization helping banks?
valid,effect of demonetization on the banking sector?
valid,Various types of financial statements used by banks for credit calculations.
valid,Tell us about yourself
valid,Why this company
valid,Tell us about yourself 
valid,Why this company 
valid,Which position are you interested in? 
valid,Any skills that you possess which resonates with the position you want? 
valid,How many airplanes take off from the Delhi airport each day?
valid,How many airplanes take off from the Delhi airport each day? 
valid,Which brand describes you the best and why?
valid,What do Indians see while choosing a refrigerator?
valid,Who do you idealise in your life and who inspires you the most ?
valid,Describe yourself in few words.
valid,Pointed things out in my resume and said do you think this is relevant for me to know ?
valid,What is twenty19?
valid,I have 20+ years of experience in my field and I have a cv of just one page why students bring me cv of more than 2 pages?
valid,If you are left alone in a market of someother state with someother language to research on will you be able to conduct a market research over there?
valid,What are your hobbies?
valid,What have you done so far in the field to make your hobbies convert in your work?
valid,If you don't love something, say finance, how do you still manage to work on it?
invalid,All about mechanical engineering!
valid,Questions about my CV, interests, feasibility of working place, hours and salary.
valid,Questions regarding company, what field you want to work in that company and why, how would you contribute to it.
valid,Tell us something about yourself
valid,Tell us more about the Project which you've pursued for your Graduation
valid,What are the relevant elements to be considered in ascertaining the Cost of creating a Quote by an IT Company
valid,Family background
valid,Educational Background 
valid,Areas of Interest
valid,Tell me about youself
valid,Why wipro
valid,Why this profile
valid,What fascinates you the most in sales
invalid,Digged deeper in market research
valid,What do you know about wipro
valid,What do you understand about the profile
valid,Mention few leadership roles, team driving roles and skills
valid,Tell us something about yourself?
valid,Throw some light on the Graduation Project that you've done and what exactly did you learn from it?
valid,Discuss the Cost Elements you feel are relevant in creating the Cost per Quote for an IT Company?
valid,Introduce yourself
valid,What do you know about IDC
valid,Why would you like to join IDC
invalid,Was a rapid fire round programming based and basic HR questions
valid,Tell me about yourself
valid,Difference between C and C++
invalid,Rdbms full form
valid,Palindrome , fabonacci series
invalid,Normalization
valid,From where you can purchase smp
valid,What is technical analysis of a stock?
valid,What is current term deposit rate in India?
valid,What is ELSS?
valid,Wine or beer?
valid,How does regression work.
valid,why do you want to work with us and what are your future perspective?
valid,Tell me about your self
valid,What inspires you to become an  ISP 
valid,What do you like and dislike about Internshala 
valid,Tell us something which we can't find out from your CV. 
valid,Fall in the Chinese yuan 
valid,Ratios for banks 
valid,Why ICICI?
invalid,Pure technical questions related to C and C++.
invalid,Logical question
invalid,Pure Technical
invalid,Technical and HR questions
invalid,Database question
valid,Hobbies,some scenarios,told to sell a black and white painting
valid,Tell me something about our company?
valid,How ur technical skills help us 
valid,What is ur project and explain it
valid,What are your future plans
valid,Wipro didn't bother to ask any technical questions.They were more interested in how students express themselves in a particular situation than asking routine technical stuff!
valid,Simple interaction on my liking,hobbies,best moments in my life...\nOn what basis  would I make a recruitment for a particular job if given a chance?
invalid,Questions on Java and SQL
invalid,Testing based question and SQL 
invalid,Package discussion
valid,Tell me about yourself
invalid,Questions based on previous work experience
valid,Know how about bpcl - facts and figures
valid,Location and BU flexibility questions
valid,What is the important work of H/R
valid,What is the salary do you want..?
valid,What is the important work of H/R 
valid,What is the salary do you want..?
valid,What is the salary do you want..?
valid,1.Difference between the cloud computing and grid computing \n2.Differnece between IAAS and SAAS.\n3. To write java app components on the project that I had done.\nSome questions on SQL and HTML 
valid,Introduce yourself
valid,Why did you choose MBA after your UG?
valid,Introduce yourself
valid,Why did you choose MBA after your UG?
valid,What do you Know about IDC?
valid,How will you be helpful to the organization?
valid,Introduce yourself
valid,How will you be helpful to the organization?
valid,What are your preferences to work in the given teams?
valid,Why did you choose IDC?
valid,Introduce yourself
valid,Why did you choose IDC?
valid,What are your projects in your UG?
valid,How would you be helpful to the company?
valid,what attracted you to this job
valid,Tell us something about yourself. \n
valid,What are you interested in? 
valid,How will you sell a pen to me, if I don't need it? 
valid,Will be able to do the internship in summers in such high heat? 
valid,What are your interests?
valid,Write about any of your work as in the resume you have written about content writing? 
valid,Say something about the people here? 
valid,Introduce yourself, family background, why engineering? 
valid,Why MBA after engineering?
valid,What is your daily routine in IMT and why?
valid,Explain the logistics strategy triangle? why to choose rail transport over road and vice versa?
valid,Factors affecting carrier and shipper decisions.
valid,Explain the cost to cost and cost to service trade off?
valid,what is ROLA?
valid,A question writing about code of binary search was given to me. 
valid,What is data base algorithm? What do you know about it? 
valid,To write a code on binary search.
invalid,Questions based on java . 
invalid,Questions based on Data structure algorithms.
invalid,Technical questions
invalid,About me
invalid,Adaptability related 
invalid,Relocation 
valid,About yourself
valid,What is sales
valid,Didference between B2B and B2C sales
invalid,Sales Scenario based question
valid,What do you know about the company
valid,Tell  us about yourself.
valid,Tell us about your interests and hobbies.
valid,What are the recent topics in Finance that you have read about? 
valid,Explain Capital account convertibility and impact of its degree on Indian Economy?
valid,Why are you looking to be a recruiter?
valid,Are you ok with travel?
valid,Tell me something interesting about yourself 
valid,Tell us something about yourself.
valid,what do you about our company?
valid,why should we hire you?
valid,What are the marketing strategies according to you?
valid,Describe yourself.
valid,what are your strengths and weaknesses?
valid,why did you choose kIIT as your college?
invalid,asdf
invalid,asdfasdfasdfasdfasfasdfa\nsdfas
invalid,asdfasfd
valid,How are financial ratios used to interpret inventory ?
valid,Difference between npv and irr
valid,Capm model
invalid,Basic aptitude 
valid,Why should we take you?
valid,Why our company ?
valid,Tell me about your achievements 
valid,Why you want to leave your current organization?
valid,Your strengths?
valid,Achievements?
valid,Tell us about yourself.
valid,Have you done any projects?
valid,Explain your project.
invalid,Questions on java and advance java.
invalid,Questions on web development .
valid,Write a code in java?
invalid,Questions on java.
invalid,Questions on projects done.
valid,Questions about oneself in details.
valid,Describe yourself.
valid,Why should we hire you?
valid,How much can you contribute to this?
valid,explain any of your previous work.
valid,Tell me something about yourself\nInternship work that all I have done \nCan you do field work \nWhat is your strengths & weakness \nAny problem with location \nWhy you think this profile suits you \nWhy should we hire you \n
valid,Tell something about yourself  in details.
valid,what do you know about our company?
valid,why do you prefer marketing?
valid,How determined will you be throughout the internship?
valid,Have you worked in an IT Company
valid,Do you wish to be an entrepreuner
valid,Do you know anything about us apart from what you read from the website
valid,Do you at all know anything related to programming languages
valid,What were your activities behind the formation of alumni body during college?\nWhat skills you acquired while being convenor of sports there?
valid,Can you learn the skills and design a project during internship here at Mstc?
valid,You are not taking IT/Operations as your specialization yet you want to opt fpr this role. Why?
valid,Tell me about yourself
valid,What do you know about amul
valid,Any recent news you have heard about our company
valid,Why we should hire you as our intern
valid,Introduce your self 
valid,Why do you want to make carrier in airline sector 
valid,Where do you see yourself after 5 years 
valid,Tell me about yourself
valid,Short case study of management
valid,How long you have been working
valid,Would you able to do the job and make customers?
invalid,ad
valid,Why marketing?
valid,Why should we hire you ?\n
valid,Tell me about yourself
valid,How would you sell this water bottleto me
valid,Talk about a controversial topic fr 1 minute
invalid,Google ranking of your website ;Marketing scenario based questions
valid,Priority check ;Resume based cross questions
valid,tell me about yourself\n
valid,family background
invalid,career related question
valid,introduce yourself
valid,What are you good at?
valid,introduce yourself
valid,What are you good at?
valid,What will you do in the company?
valid,What is your salary expectation
valid,Being a technical person, why do\nwant to work on a functional profile
valid,Tel us about ur self
valid,Are you prepare to relocate?
valid,Where you want to see yourself after 3 years?
valid,What is the capital of us 
valid,Difference between arr and adr 
valid,What is l and d register 
valid,tell us about yourself
valid,why should we hire you
valid,why genpact
valid,what is collateral management\n
valid,2 strengths and weaknesses each 
valid,3 difficult times in professional/ personal life and tell us how you dealt with them?
valid,Apart from your Resume tell me about your self ?
valid,Elaborate on few points that you have mentioned in your Resume?
valid,Tell me about your Summer Internship and your role ?
valid,Why do you think SBI cards is a good place to work for ?
valid,Tell me about your last job and your role?
valid,Reasons for quitting the last company ?
valid,What if your previous company offered you the same job role and package , which one will you prefer ?
valid,Do a survey and plan a way on "how to retain customer for SBI cards" ? 
valid,Whats your favorite subject and why? 
valid,4 P's of marketing and which one is the most important and why?
valid,4 C's of marketing and apply this and describe how SBI works?
valid,Tell me about your leadership skills?
valid,Are you okay with the Job location?
valid,Tell me about your self ?
valid,Who all are there in your family ?
valid,How come you choose MBA?
valid,Do you think you are better than other ?
valid,Apart from you, who do you think is most suitable for this job ?
valid,Tell me about yourself
valid,Why should we hire you ?
valid,Tell me your 3 strenghts and weekness
valid,Where do you see yourself after 5 years?
valid,Differnence between C and Java
valid,Define a pointer
valid,Write a program for generating fibonacci series using functions
valid,Tell us about the summer internship in detail
valid,Writing Programs in Java and C++
valid,Are you flexible with location
valid,Are you flexible with working hours
valid,Have you worked in any IT /Systems role?
valid,Do you have any idea about our company other the ones you have learned from the website while you were preparing for it?
valid,Have you worked in any IT /Systems role?
valid,Do you have any idea about our company other the ones you have learned from the website while you were preparing for it?
valid,Honestly do you have plans to start your own company?
valid,Having no Experience in the field if systems, dont you feel you will face problems in internship at systems?
valid,What skills have you acquired from the sports committee or forming of alumni association there at your engineering college?
valid,What you achieved in the said curricular activities?
valid,Do you keep updates of the steel market?
valid,When are you planning to quit and start of your own?
valid,why cognizant
valid,what value will you add to the organization
valid,why cognizant
valid,what values can you add to the organization
valid,why cognizant
valid,what value will you add to the organization
invalid,Basic electronics  related questions. 
valid,Questions from your choice of subject 
valid,Coding ( Embedded C, c++, Data Structures, Linux) 
valid,Things I expect from the company 
valid,Location choice 
valid,Further plans 
valid,What is ur basic daily routine?
valid,What do you know about distribution?
valid,Fianncials of distribution.
invalid,Basuc info..
invalid,Compensation and location discussion
valid,WHAT IS SALESMAN TRAVERSING PROBLEM 
valid,IF GIVEN A CHANCE TO WORK ON FIELD AND NEED TO MOVE TO DIFFERENT PLACES HOW WILL YOU MANAGE?
valid,WHAT IS LINK LIST
valid,WRITE A C PROGRAM TO FIND THE AREA OF A TRIANGLE
valid,WHATS IS SOFTWARE DEVELOPMENT LIFE CYCLE
valid,Tell me about yourself
valid,Why do you want to join a software company when you have studied biotechnology?
valid,How can you contribute to the company?
valid,What are your location preferences?
valid,Are you comfortable with night shifts?
valid,What you have learned in your previous company?
valid,How you would handle the pressure because it's a new company and there might be the chances that we can ask yu to do something which is not there in your job role?
valid,In your previous company you were doing in house jobs. Your boss didn't ask you to go outside and bring business for the company but in your company you need to go outside and visit some VVIP clients. Are you ok with it..??
valid,Tell us about yourself
valid,Why should we select you?
valid,Why Infosys?
valid,2 strengths and weaknesses each
valid,Why did you choose to do an MBA in marketing?
valid,3 difficult times in professional/personal life you had to face and how you overcame the same?
valid,What is marketing?
valid,Tell me  about yourself ?
valid,Why you have choose marketing ?
valid,Tell me  about yourself ?
valid,Tell me about yoursel
invalid,Subject related que
valid,Why do you want to join this company?
valid,Tell us what projects have you worked on?
valid,Tell us about your self?
invalid,Tell me about urself.\nBanking knowledge.\nSituation based questions
valid,What is Voltage?\n
valid,what is flux?
valid,Do you know thevenin's Theory?
valid,Do you Know Nortons Theory?
valid,Tell me about yourself
valid,Write C program for palindrome.
valid,Write C program in java
valid,Using MAT Lab , write a program for signal transmission
valid,What is digital communication and analogue communication. What's the difference between both of them?
valid,What is cloud full form? 
valid,What is cloud computing?
valid,Is cloud computing secure?
valid,What is hacking?
valid,What is ethical hacking?
valid,If you are a good hacker, if someone asked you to hack our company details with a reward of \xc3\xa2\xe2\x80\x9a\xc2\xb9200 crores and a job. What will you do ?
valid,Tell me about yourself
valid,How will you be helpful to the company?
valid,Would you lie for the company?
valid,What is PHP
valid,What do you understand by filters
valid,What does bool function do?
invalid,Basic questions about resume
invalid,Managers round
valid,Why Tatwa
valid,What will you do if I hire you
valid,Family background
valid,What us weep hole 
invalid,Latency?
invalid,RMC?
valid,Why lack of high rise building in India 
valid,How will you 
invalid,Questions on Economy(little hard)
invalid,Questions on derivatives(moderate level)
invalid,Questions on Economy(little hard)
invalid,Questions on derivatives(moderate level)
invalid,Questions on accounting(basic)
invalid,It was like a mini technical round..the questions were on portfolio management
invalid,It was like a mini technical round..the questions were on portfolio management
invalid,Very basic..
valid,Write the longest program that you can in a language of your choice and explain it line to line
valid,Do you think your job designation should be solely based on your programme in b.tech
valid,Did you face any difficulties in IIT Bhubaneswar
valid,What do you know about our company and product
valid,What do you know about our company and product
valid,Tell us all you know about Droom
valid,Tell us all you know about Droom
valid,Tell me about yourself
valid,What are your hobbies
valid,What did you learn after joining MBA
valid,Introduce yourself
valid,Descibe your projects.
valid,Tell me about your areas of intrest in work
invalid,Questions based on past experience
invalid,Hr questions
valid,Tell me about yourself
valid,Explain leach protocol
valid,Tell about yourself
valid,What do you know about the company?
invalid,I was ques related to core Java and about the project which I was handling in my previous company. Then with HR salary discussion. 
valid,What is Risk modules? 
valid,Tell me about yourself
invalid,current GDP of india
valid,family background
valid,Tell me about yourself
valid,Why should we hire you
invalid,Current transmitter?\nPlc block?\nBoiler system?\nVhdl
invalid,General hr questions
valid,About technology used earlier
valid,Included work profile and negotiations
valid,What do you know about the company?
valid,Tell us about yourself? 
valid,Tell us something about your family? 
valid,Talk about yourself 
valid,What does the company do?
valid,What does investment banks do? 
invalid,Introduction, Basics of Computer science subjects.
valid,Sql port number
valid,Sql joins
invalid,Subject snd hr w
valid,Tell me about yourself\xc3\xa2\xe2\x82\xac\xe2\x80\xb9
valid,Why do you want to work here
valid,Why did you leave your previous job
valid,Difference between various operating systems.
valid,Latest versions of the product
invalid,Information about the company (process)
invalid,Questions related to previous work experience
valid,Tell me about yourself
valid,Why this company
valid,Why did you leave the previous job
valid,Different types of operating systems
valid,Latest versions of the product
valid,Knowledge about the product
valid,Knowledge about the company
valid,What do you know about Barclays
valid,Why do you choose Barclays as a company over others
valid,What do you know about Barclays
valid,Why do you choose Barclays as a company over others
valid,Do you know IFRS. Which IFRS relates to Revenue Recognition
valid,What do you know about AS- Impairment of Assets
valid,What do you know about AS- Impairment of Assets
valid,How would you impair a CGU and asset not a part of CGU [CGU = Cash generating unit]
valid,How does your articleship suits this profile?
valid,Tell me more about your CV in detail[about the audits I did]
invalid,AS-22 Deferred Tax 
valid,How do you manage relationships. Give a proof of that
valid,How do you manage relationships. Give a proof of that
valid,Do you have a conflict with your boss. Who won? What was the learning
valid,What thing you have done in someone's life that has changed him forever. 
valid,Imagine i have set up a SPV. Explain in detail about it.
valid,What is the difference between Future and Forward Contracts.
valid,What decision by Raguram Rajan made all banks worried?
valid,How do you manage different tasks. What is that urge that make you go through it easily
valid,What is that thing which helps you to take difficult tasks.
valid,Why opt for non technical profile?
valid,Which is your favourite department?
valid,What is C form? Where is the copy of C form submitted?
valid,(Eg Tell me what you know about PwC; What do you think went wrong during the floods in Chennai and what could have been done instead?)
valid,Number of guitars in n trichy
valid,About my experience as overall coordinator of festember
invalid,Questions on Finance.\n\n
valid,Random Variable distribution
invalid,Coding
invalid,Puzzles
valid,Tell us about yourself
valid,which department are you interested?
valid,Tell us about yourself
valid,which department are you interested?
valid,what is modern american plan?
invalid,Round 1: Both technical and HR questions. They were based on R, normal coding questions based on time series, binary search. Round 2: Purely technical questions. He was asked to explain the chemical engineering projects he had done in his 2nd and 3rd years, write some syntaxes, answer some guesstimates and puzzles. Round 3: Completely HR questions such as: Sell yourself to us in one minute, will you pursue higher studies in the future,why this company?
valid, What are the factors you will consider if Amazon wants to enter a new area or region?
invalid,Data analytics questions
valid,. A case study on the factors to be considered to measure the time a seller will load and unload a vehicle which was extended to linear regression
invalid,Data analytics questions
valid, Why are you interested in pursuing a non-core career after studying chemical engineering for three and a half years?
valid, Why should we choose you and not the others waiting outside?, 
valid,Mass Transfer Applications
valid, Concentrated mainly on heat transfer and mass transfer.
valid,Introduction
valid,Why our company?
valid,Where do you see yourself in net 5 years?
valid,Wine regions of france?
valid,Wines from france?
valid,Introduction
invalid,Arr, Revpar
invalid,Current affairs
valid,*Technical Interview\nAbout heat and mass transfer 
invalid, famous gold puzzle
invalid,case study related: sales were increasing but the monthly profits were falling.
valid, problem identification - how to reduce per delivery cost from Rs. 75 (hypothetical value).
valid,What is nerwork?
valid,Types of network?
valid,What is nerwork?
valid,Types of network?
valid,What is protocol?
invalid,Switch / router
valid,List of OSI LAYER
valid,What u do when u are alone in difficulty times and in others difficulty times ?\nHow could u manage urself ?
valid,What u do when u are alone in difficulty times and in others difficulty times ?\nHow could u manage urself ?
invalid,Related to my project based on composite material.
valid,Punctuatily , gesture and body language
valid,Donnie is not near MG road .
valid,What is a smart grid
valid,Please go through your resume 
valid,Explain briefly about work profile 
valid,I was given Three situations in which I was supposed to pitch them.. And convince the customer on skype
invalid,basic details about my skills
valid,Personal Introduction
valid,Have to make a tower out of newspaper and tape nothing else.
valid,Why did you joined hospitality industry?
valid,Area of interest?
valid,Why did you joined hospitality industry?
valid,Area of interest?
valid,Formula for RevPar?
invalid,Case study.
invalid,Dbms
invalid,DBMS questions
valid,Tell me about yourself
valid,Elaborate the technical details of the project done under ScoopWhoop Media Pvt. Ltd.
valid,It covered all the things mentioned in my resume.
invalid,Arr, revpar
invalid,General knowledge
valid,About your training
valid,Introduction 
valid,Deep about your hobbies
invalid,Current affairs
valid,Tell me something about yourself ?
valid,Why aviation Sector ?
valid,Why do u want to opt for security profile ?
valid,Do you have valid passport , aadhar card , driving lisence ?
valid,What is ur salary expectation ?
valid,Are you ready to relocate ?
valid,Are you ready to work in shifts ?
valid,Tell me something about yourself ?
valid,Any specific reason to opt for security Profile ?
valid,Do you know the roles and responsibility for this position ?
valid,Why this Stream
valid,Where do you see yourself in 10 years?
valid,Why this Stream
valid,A hollow sphere is 1/3 filled with liquid methane and has a small hole on top. Which region has the maximum mass flux.
valid,Find minimum value of n for which sum of squares of first n natural numbers is a multiple of 200
valid,What is thermodynamics?
valid,What are different losses in a fluid flow?
invalid,Situation on IAS 12 was given.
valid,Few accounting problems were given.
invalid,Few tax related and finance modeling related questions were asked.
invalid,Few questions on my training experiences.
invalid,I was asked about various situations which one faces at work, and some behavioral questions.
invalid,Telephonic Interview
invalid,Various Actuarial Questions
valid,Salary Disclosure, Location confirmation, Joining Date
valid,Tell me something about yourself
invalid,Was asked questions related to pharma, and biotechnology
valid,Asked to describe myself n then am I flexible enough to work in chennai 
valid,Tell me about yourself?
valid,You wouldn't be able to make it in futures first, Why should we hire you?
valid,Why do u think you are right for futures first?
valid,Who is your idol (and some questions based on that)?
invalid,Some situation based questions(to judge how risk taking I am)?
invalid,Some questions based on the form which you hava to fill before interview.
valid,Why are you not going for higher studies?
valid,Tell me about yourself?
valid,Why should we hire you?
invalid,2-3  simple puzzles we asked in this round/
invalid,Some situation based questions were asked.
valid,Some questions based on the form which you have to fill before the interview.
valid,What is phase diagram, describe.
invalid,Interviewer asked about the projects and Fundamentals of JAVA and also Database questions especially on foreign keys and basic concepts of DBMS.
invalid,Technical
valid,Personal and check your attitude
valid,Tell me about yourself
valid,What is object oriented programming?
valid,Tell me about yourself
valid,What is object oriented programming?
valid,Write a code in C language such that output will be of Triangle shape.
valid,What is polymorphism?
valid,What is inheritance?
valid,Tell me about yourself
valid,What do you know about the company.
valid,Tell me how you will handle a difficult co-worker
valid,Can you explain any situation in your life where you resolved a conflict
valid,Will you be willing to work at any time ?
valid,Can you explain any situation in your life where you resolved a conflict
valid,Will you be willing to work at any time ?
valid,Explain to us how you would market Barcode Entertainment  and its services of experiential marketing to the shoe company clarks. 
valid,Introduction
valid,Courses of French Classical Menu
valid,Introduction 
valid,Courses of French Classical Menu
valid,Tell me about yourself
valid,Tell me about yourself
valid,What work has been allocated to you in office?
valid,Introduce yourself
valid,What work has been allocated to you in office?
valid,Can you say me the fire insurance premium rates?
valid,What is the structure of bonus rates?
valid,Tell me about yourself
valid,Why choose housekeeping
valid,Tell me about yourself
valid,Why choose housekeeping
invalid,Taskies
invalid,Laundry equipment
valid,Brands of equipment s
invalid,Programming test
invalid,Face to face interview on selenium web driver.Asked questions on different selenium concept
invalid,Questions related to salary , education,my job role and responsibilities.
valid,How group discussion is different from interview?
valid,Tell me about Urself, family, educational background..
invalid,Hr related questions..
invalid,Labour law questions
valid,What do u know about the role.. Will u be able to manage
valid,Tell me about yourself
valid,Have you worked on any live project?
valid,What is the different between analog and digital communication and which is better?
valid,What is Modulation and its type  Explain with diagram ?
valid,You are current intern in Wipro so on what project you are working could you please explain it ?
valid,On which topic you have given presentation in international conference ?
valid,Explain cellular communication?
invalid,Asked about bpo
valid,Where do you see yourself after 10 years
invalid,Full on marketing concept testing 
valid,Tell me about yourself and similar questions 
valid,Tell us about yourself.\nWhy Marketing and Strategy according to you?
valid,Give us an overview of the pharma market in India.
valid,How are the Healthcare and Pharmaceuticals markets different?
valid,Do research and present the current OA scenario in India.
valid,What population in India has health insurance and on which cases are they willing to use?
valid,Estimate the total number of Knee replacement surgeries taking place in India?
valid,Strengths and weaknesses.
valid,What Technology Stack you poses? 
valid,Why do you want to intern here? 
valid,What are your expectations with this internship.? 
valid,Tell us about yourself.
valid,What are your strengths and weaknesses?
valid,Why marketing and strategy?
valid,What is the current scenario of the pharma market in India?
valid,How different are Pharma and Healthcare as business functions?
valid,How many Indians have health insurance? What percent of them use health insurance for conservative treatment solutions?
valid,Estimate the number of knee replacement surgeries in India.
valid,Challenges that a typical pharmaceutical company face from sales and marketing POV in India wrt abroad.
valid,1. Ranbaxy production is falling. Give me the structure and exhaustive list.\n2. Ranbaxy profits are falling. Give me the structure of all the parameters under consideration
valid,1. Calculate the cost of the disease ( opportunity cost+ medical expenses+ social +emotional cost )\n2. List down all the parameters to be considered while constructing a Toll booth on a highway to generate maximum revenue.
invalid,About engineering subjects
invalid,General questions 
valid,Tell me about yourself.
valid,Tell me about your second year internship project.
valid,How's and why's about project.
valid,What subject you like the most?
invalid,Analytical questions on that subject.
valid,How is it all going?
valid,Tell me something interesting about yourself.
invalid,General core subject questions.
valid,What salary you expect?
valid,Tell about yourself.
valid,Why should we hire you
valid,Tell me about yourself
invalid,Tell me about you project.\nQuestions regarding my field .\n
valid,How many cars are there in mumbai roads right now
valid,What is Debt Market ?
valid,Different way of investment ?
valid,What is SIP ?
valid,What is mutual Fund?
valid,Introduce your self?
valid,Tell me about your past job ? (if experienced)
invalid,Basic questions from C programming
valid,How aeroplane flies?
valid,Hobbies
valid,Are you ready to relocate?
